Key;Russian;English;Tatar;Chuvash
Warehouse_UnitPieceShort;шт.;pcs.;данә;данӑ
CurrentUserNotFound;Текущий пользователь не найден;Current user not found;Хәзерге кулланучы табылмады;Хальхи усӑ куракан тупӑнмарӗ
StorekeeperForm_SearchText;Поиск:;Search:;Эзләү:;Шырани:
StorekeeperForm_ToolStripStorekeeperText;Кладовщик;Storekeeper;Складчы;Кладовщик
StorekeeperForm_Title;Кладовщик - Управление складом;Storekeeper - Warehouse management;Складчы - склад белән идарә;Кладовщик - складпа управлени
ErrorAuthorization;Ошибка авторизации;Authorization error;Авторизация хатасы;Авторизаци йӑнӑшӗ
RoleNotAssigned;Не назначена;Not assigned;Билгеләнмәгән;Палӑртман
RoleAdministrator;Администратор;Administrator;Администратор;Администратор
RoleStorekeeper;Кладовщик;Storekeeper;Складчы;Кладовщик
ErrorProductAlreadyDeleted;Товар уже удален;Product is already deleted;Товар инде бетерелгән;Товар малтанах катӑртнӑ
ErrorProductNotFoundOrDeleted;Товар не найден или был удален;Product was not found or was deleted;Товар табылмады яки бетерелгән;Товар тупӑнмарӗ е катӑртнӑ
ProductDisplay_InStockFormat;{0} (в наличии: {1});{0} (in stock: {1});{0} (бар: {1});{0} (наличире: {1})
ProductDisplay_WaitingSupplyFormat;{0} (ожидается поставка);{0} (awaiting supply);{0} (поставка көтелә);{0} (поставка кӗтет)
Warehouse_SearchLabel;Поиск:;Search:;Эзләү:;Шырани:
Warehouse_LegendTitle;Условные обозначения;Legend;Шартлы билгеләр;Условиллӗ паллӑсем
Warehouse_CardTitle;Карточка товара;Product card;Товар карточкасы;Товар карточки
Warehouse_LegendRed;Количество менее 10 штук;Quantity less than 10 pcs;Сан 10 данәдән ким;Шучӗ 10 данӑран сахал
Warehouse_LegendGreen;Срок годности больше 30 дней;Expiration date is more than 30 days;Яраклылык срогы 30 көннән артык;Юрӑхлӑх вӑхӑчӗ 30 кунран ытла
Warehouse_LegendYellow;Срок годности от 7 до 30 дней;Expiration date from 7 to 30 days;Яраклылык срогы 7 дән 30 көнгә кадәр;Юрӑхлӑх вӑхӑчӗ 7-30 кун
Warehouse_LegendOrange;Срок годности менее 7 дней;Expiration date is less than 7 days;Яраклылык срогы 7 көннән ким;Юрӑхлӑх вӑхӑчӗ 7 кунран сахал
Warehouse_LegendRule;сначала учитывается срок, потом количество;expiration date is checked first, then quantity;башта срок, аннары сан исәпкә алына;малтан вӑхӑт, унтан шут шутланать
Warehouse_CardNameCaption;Название:;Name:;Исеме:;Ячӗ:
Warehouse_CardCategoryCaption;Категория:;Category:;Категория:;Категори:
Warehouse_CardStockCaption;Остаток:;Stock:;Калдык:;Юлашки:
Warehouse_CardExpiryCaption;Срок годности:;Expiration date:;Яраклылык срогы:;Юрӑхлӑх вӑхӑчӗ:
Warehouse_CardCellCaption;Ячейка:;Cell:;Күзәнәк:;Ячейкӑ:
Warehouse_InfoTitle;Общая информация:;General information:;Гомуми мәгълүмат:;Пӗтӗмӗшле информаци:
Warehouse_TotalCount;Всего товаров;Total products;Барлык товарлар;Товарсем пурӗ
Warehouse_ExpSoon;Заканчивающиеся (<7 дней);Expiring soon (<7 days);Тиздән бетә (<7 көн);Тиз пӗтекенсем (<7 кун)
Warehouse_ExpNormal;Срок истекает (7-30 дней):;Expires in 7-30 days:;Срок бетә (7-30 көн):;Вӑхӑт пӗтет (7-30 кун):
Warehouse_LowStock;Количество < 10 шт;Quantity < 10 pcs;Сан < 10 данә;Шут < 10 данӑ
Warehouse_LegendBlue;Нет срока годности;No expiration date;Яраклылык срогы юк;Юрӑхлӑх вӑхӑчӗ ҫук
AddProduct_ArticleWatermark;Введите артикул;Enter article number;Артикулны кертегез;Артикул кӗртӗр
AddProduct_NameWatermark;Введите название;Enter name;Исемен кертегез;Ятне кӗртӗр
AddProduct_PriceWatermark;Введите цену;Enter price;Бәяне кертегез;Хак кӗртӗр
Warehouse_Button;Склад;Warehouse;Склад;Склад
CurrencyCode_RUB;RUB;RUB;RUB;RUB
Warehouse_Dash;—;—;—;—
CriticalApplicationError;Критическая ошибка при запуске приложения;Critical error starting the application;Кушымтаны эшләтеп җибәргәндә критик хата;Приложени пуҫланнӑ чух критикӑллӑ йӑнӑш
SupplyCurrencyTooltip_NoSupplyData;{0}\nНет данных о поставках\nЦена отображается в {1};{0}\nNo supply data\nPrice is displayed in {1};{0}\nПоставкалар турында мәгълүмат юк\nБәя {1} белән күрсәтелә;{0}\nПоставкӑсем ҫинчен информаци ҫук\nХак {1}-ра кӑтартӑнать
SupplyCurrencyTooltip_RubSupply;{0}\nЗакупка в рублях\nТекущая валюта: {1};{0}\nPurchase in rubles\nCurrent currency: {1};{0}\nСатып алу рубльдә\nХәзерге валюта: {1};{0}\nИлӳ тенкӗпе\nХальхи валюта: {1}
SupplyCurrencyTooltip_ForeignSupply;{0}\nВалюта поставки: {1}\nКурс на момент поставки: 1 {2} = {3:F4} {1};{0}\nSupply currency: {1}\nRate at supply time: 1 {2} = {3:F4} {1};{0}\nПоставка валютасы: {1}\nПоставка вакытындагы курс: 1 {2} = {3:F4} {1};{0}\nПоставка валютичӗ: {1}\nПоставка вӑхӑтӗнчи курс: 1 {2} = {3:F4} {1}
CurrencySymbol_RUB;₽;₽;₽;₽
Settings_Form_Title;Настройки;Settings;Көйләүләр;Кӗртӳсем
Settings_TextBox_Title;Настройки;Settings;Көйләүләр;Кӗртӳсем
Settings_ButtonChoose_Text;Выбрать;Select;Сайлау;Суйла
Settings_ButtonCancel_Text;Отмена;Cancel;Баш тарту;Пӑрахӑҫ
Language_Russian;Русский;Russian;Русча;Вырӑсла
Language_English;English;English;English;English
Language_Chuvash;Чувашский;Chuvash;Чуашча;Чӑвашла
Language_Tatar;Татарский;Tatar;Татарча;Тутарла
Settings_CurrencyWatermark;Выберите валюту;Select currency;Валютаны сайлагыз;Валютӑ суйласа илӗр
Settings_LanguageWatermark;Выберите язык;Select language;Телне сайлагыз;Чӗлхе суйласа илӗр
AdminForm_ButtonSettingsText;Настройки;Settings;Көйләүләр;Кӗртӳсем
Storekeeper_ButtonSettingsText;Настройки;Settings;Көйләүләр;Кӗртӳсем
ErrorOpenSettingsForm;Не удалось открыть форму настроек;Failed to open settings form;Көйләүләр формасын ачып булмады;Кӗртӳсем формине уҫма пулмарӗ
